article_id,category_id,created_at_ts,words_count
1336,1,1474660333000,223
1799,1,1507220547000,223
2022,1,1507045642000,208
2042,1,1502452722000,179
2075,1,1506951125000,179
2179,1,1498148242000,178
2197,1,1506964078000,155
2206,1,1507022262000,172
2231,1,1507195826000,195
2303,1,1506940921000,204
2315,1,1507067770000,200
2450,1,1507285320000,158
2474,1,1507037088000,193
2475,1,1507033774000,179
2485,1,1507033411000,251
2507,1,1499725050000,233
2626,1,1506944625000,158
2647,1,1507120576000,191
2709,1,1507108888000,182
2748,1,1507319364000,187
2854,1,1507131594000,195
2907,1,1506981664000,229
2996,1,1507125098000,207
3091,1,1507482869000,177
3106,1,1506948230000,176
3127,1,1491905879000,200
3240,1,1507308336000,142
3241,1,1506978859000,180
3244,1,1508220059000,153
3246,1,1506961037000,165
3310,1,1507282805000,210
3391,1,1507469416000,196
3394,1,1507566093000,221
3425,1,1507232169000,221
3464,1,1506973796000,160
3493,1,1507326578000,214
3629,1,1507139907000,182
3634,1,1506877502000,185
3712,1,1507231715000,234
3808,1,1507217960000,177
3885,1,1507032074000,143
3899,1,1506936137000,224
4011,1,1507394928000,197
4110,1,1507117668000,210
4163,1,1507196026000,172
4185,1,1507022328000,171
4190,1,1507109455000,170
4295,1,1507024186000,129
4306,1,1507400052000,209
4315,1,1507029911000,172
4374,1,1507380842000,161
4400,1,1507459033000,132
4401,1,1502483194000,187
4578,2,1506853494000,161
4715,2,1506876437000,151
4864,2,1506867950000,162
4867,2,1507482403000,181
4907,2,1507555132000,210
4967,2,1506976922000,193
5043,2,1506953699000,187
5134,2,1507045253000,197
5137,2,1507232854000,168
5179,2,1507243340000,225
5229,2,1507057227000,136
5254,2,1507472885000,220
5258,2,1506978097000,161
5272,2,1507459186000,156
5314,4,1507080657000,156
5341,4,1507167057000,153
5366,4,1507512611000,193
5387,4,1507254357000,196
5408,4,1506994257000,118
5457,6,1506969114000,193
5559,6,1366917867000,167
5755,6,1380791900000,201
7694,6,1506975208000,209
7744,6,1507547483000,211
7804,6,1507541298000,233
7834,6,1507199943000,175
7970,6,1507010638000,186
7971,6,1506883175000,196
8100,6,1507453171000,161
8150,6,1506579370000,326
8189,6,1507019704000,166
8223,6,1507287976000,126
8224,6,1507288692000,131
8278,6,1507293851000,131
8279,6,1507191819000,130
8291,6,1505110358000,144
8296,6,1507132434000,136
8409,6,1502086578000,180
8576,6,1507216647000,190
8667,6,1507546275000,252
8698,6,1507283516000,161
8743,6,1503646285000,190
8800,6,1507013646000,155
8907,6,1507545047000,223
8934,6,1507031637000,194
8963,6,1507483690000,212
9120,6,1507122868000,244
9135,6,1506962884000,179
9142,6,1507130363000,227
9175,6,1507031101000,191
9216,6,1507406322000,149
9312,6,1507184451000,194
9379,6,1507029577000,191
9498,6,1503515336000,196
9606,6,1506887512000,208
9690,6,1507202134000,182
9705,6,1507025684000,186
9798,6,1505924530000,184
9810,6,1507239384000,187
9984,6,1507039607000,177
10034,6,1506932614000,138
10199,6,1500675143000,193
10212,6,1507104798000,171
10370,6,1507471633000,151
10372,6,1507051139000,164
10455,6,1507051489000,169
10495,6,1507107043000,139
10500,6,1507291296000,150
10525,6,1507300109000,184
10556,6,1504694713000,172
10623,6,1507366905000,474
10770,7,1503958322000,176
10783,7,1412623827000,163
10820,7,1504098528000,235
10900,7,1506929252000,140
11408,7,1396895032000,163
11553,7,1407526977000,175
11596,7,1410987357000,220
11810,7,1425563947000,150
12414,7,1452374835000,157
12477,7,1459425654000,283
12745,7,1472250888000,217
12778,7,1475175635000,235
13270,7,1487363985000,279
13273,7,1487955733000,220
13498,7,1506707580000,217
13503,7,1507298639000,147
13519,7,1507075255000,228
13537,7,1507549376000,208
13568,7,1507539984000,167
13578,7,1507040179000,186
13579,7,1507301112000,205
13591,7,1507287948000,180
13618,7,1507292996000,189
13622,7,1507191903000,202
13634,7,1506973199000,190
13761,7,1507046297000,206
13772,7,1507194096000,165
13811,7,1506951538000,154
13888,7,1505895031000,143
13924,7,1507117766000,172
13925,7,1506986549000,226
13938,7,1506891626000,211
13968,7,1506954263000,216
14030,7,1507027437000,284
14102,7,1506940640000,180
14105,7,1507483966000,172
14192,7,1507294043000,180
14297,7,1504355667000,121
14313,7,1506529096000,223
14324,7,1507056905000,181
14345,7,1507537109000,160
14372,7,1507280384000,144
14392,7,1507497025000,288
14394,7,1506625205000,217
14425,7,1507038344000,255
14468,7,1507079297000,187
14486,7,1507035526000,180
14540,7,1507225826000,161
14644,7,1507126096000,211
14702,7,1507239175000,206
14721,7,1507234741000,168
14736,7,1507481977000,161
14794,7,1507068943000,163
14827,7,1507115724000,156
14868,7,1506971368000,206
14869,7,1507120067000,222
14872,7,1507136098000,180
14894,7,1507219141000,186
15133,7,1506948707000,186
15166,7,1506865754000,158
15182,7,1507030610000,183
15220,7,1507327505000,169
15237,7,1507285133000,137
15306,7,1507495055000,187
15418,7,1507050617000,243
15420,7,1507214789000,234
15448,7,1507313210000,161
15531,7,1506895548000,152
15636,7,1507456134000,182
15664,7,1507290078000,188
15709,7,1507032017000,157
15712,7,1507480059000,192
15729,7,1507468393000,216
15746,7,1507309620000,147
15754,7,1507215653000,177
15755,7,1507366741000,189
15756,7,1507107576000,181
15812,7,1507400106000,256
15821,7,1507201986000,195
15840,7,1507033105000,195
15848,7,1506960916000,241
15948,7,1507206442000,173
15949,7,1494501515000,160
16040,7,1507489012000,195
16084,7,1506933755000,193
16129,7,1506944396000,200
16132,7,1506981378000,151
16166,7,1507205106000,130
16197,7,1507017201000,168
16229,7,1507311934000,207
16394,7,1507240259000,242
16470,7,1507535140000,176
16499,7,1505138752000,347
