user_id,article_id,timestamp,environment,region
199999,160417,1507029570190,4,13
199999,5408,1507029571478,4,13
199999,50823,1507029601478,4,13
199998,157770,1507029532200,4,25
199998,96613,1507029671831,4,25
199998,144978,1507029804858,4,25
199998,285371,1507029834858,4,25
199997,224171,1507029683061,4,16
199997,223931,1507029713061,4,16
199996,299697,1507029600494,4,25
199996,16129,1507029630494,4,25
199995,336476,1507029932156,4,25
199995,283933,1507030067806,4,25
199995,353667,1507030097806,4,25
199994,235230,1507053409054,4,8
199994,271551,1507055176032,4,8
199994,236444,1507292778083,4,8
199994,236951,1507295091338,4,8
199994,205973,1507300936624,4,8
199994,286209,1507321585590,4,8
199994,293050,1507321615590,4,8
199993,5408,1507029685414,4,25
199993,107301,1507029792652,4,25
199993,64329,1507029822652,4,25
199992,272143,1507029683969,4,25
199992,348111,1507029702470,4,25
199992,299697,1507029732470,4,25
199991,156624,1507029584077,4,2
199991,160417,1507029620497,4,2
199991,158536,1507030059676,4,2
199991,156447,1507030059828,4,2
199991,156808,1507030089828,4,2
199990,272143,1507029564434,4,7
199990,198659,1507029670707,4,7
199990,84629,1507029700707,4,7
199989,160417,1507029634489,4,10
199989,156624,1507029634566,4,10
199989,64329,1507029656048,4,10
199989,96077,1507029769607,4,10
199989,111681,1507029905795,4,10
199989,111639,1507029949063,4,10
199989,111088,1507030011771,4,10
199989,110907,1507030041771,4,10
199988,156624,1507029582008,4,28
199988,160974,1507029612008,4,28
199987,272143,1507029551778,4,24
199987,336476,1507030811783,4,24
199987,64329,1507030841783,4,24
199986,5408,1507029596628,4,25
199986,272143,1507029626628,4,25
199985,284474,1507029935334,4,25
199985,233917,1507029965334,4,25
199984,70594,1507029553199,4,5
199984,272143,1507029583199,4,5
199983,162655,1507029902370,4,16
199983,158082,1507029932370,4,16
199982,156624,1507029692899,4,21
199982,156447,1507029954121,4,21
199982,149623,1507029984121,4,21
199981,149599,1507029611062,4,24
199981,158019,1507030070740,4,24
199981,272143,1507030233943,4,24
199981,198659,1507030255295,4,24
199981,162655,1507030311140,4,24
199981,208077,1507031117212,4,24
199981,199198,1507034777010,4,24
